Sh-Boom - Single Version,The Chords,spotify:track:65q2B21oEbjSPrPHQb0MT8
"Aquarius / Let the Sunshine In (The Flesh Failures) - From the American Tribal Love Rock Musical ""Hair""",The 5th Dimension,spotify:track:1pvpRD7hCI4tyine2VYGoG
Come Make It Feel Good - Tee's Mix,Somethin' Special,spotify:track:4puMf9AYOlABGB6Bdag7G1
Fairplay,Soul II Soul,spotify:track:1ktt0ue2M9L2kZvfZsT7rX
Soul Finger,The Bar-Kays,spotify:track:134o5xEQNC5kRUSRna6SDY
They Can't Call It Beer,The Untamed Youth,spotify:track:6SH5gAkEPGXVCPAwpjQOpR
Come Go With Me - Master,The Del-Vikings,spotify:track:4xfNoHpr1JZ79tnlauhvZa
Mon ami le BrÃÂÃÂ©silien,Billy Nencioli,spotify:track:0ZcddngGjEGcminHS2pFhN
Shadazz,Suicide,spotify:track:5smCjZPggHHWv0Llb5nGs8
I Who Have Nothing,John Jones,spotify:track:2ad5i6zXXw19J1ehlbCBrq
Out There,Blake Babies,spotify:track:5QJb5iWgjUtPjPMtDNzAvr
My Dreaming Hill,Flying Saucer Attack,spotify:track:4xVb769QQHzWlGR9L9Flbl
Follow,Eric's Trip,spotify:track:1cEaDj32tZOZOP6Vu5atMT
KarlÃÂÃÂ± DaÃÂÃÂlar,Erkin Koray,spotify:track:7zpUwV3Db8SRRKCzRd7hHh
New Attitude - Remix,Patti LaBelle,spotify:track:4Wf4p9mSn8furYGuAUSbun
It's Raining Men,The Weather Girls,spotify:track:502PSdxdKZQnooHUYUj6JI
Oleo,Grant Green,spotify:track:62QX0ximZFqbWHTsSz9HN7
Moving On,INOJ,spotify:track:2F9u1CbaVtnnFxXQE57Gii
Water's Edge,Seven Mary Three,spotify:track:0pvmUroOxa5sBu9wINCbI9
2 Kindsa Love,The Jon Spencer Blues Explosion,spotify:track:6AA3lmfJjSTizxH0xeotI9
Yesterdays,Guns N' Roses,spotify:track:0SvH3iaSrSb8zZnMCEis6C
Beercan,Beck,spotify:track:33G1oMExIGE0FKltZ37auo
Female Of The Species,Space,spotify:track:4oWmifC8SThccLseeRcKVj
Summertime,Doc Watson,spotify:track:5xV7bCTvuIcxvB1NcjshNY
I Can't Stand It,Eric Clapton,spotify:track:4HqdBSLBoGNP3dg7KB8A6R
Somebody's Baby,Jackson Browne,spotify:track:4SlCb8n5Jw52astU7GWPyV
No Milk Today,Herman's Hermits,spotify:track:6hcu8X3jKQbZJjwmdaPlVS
Do You Love What You Feel - Magic Juan's Smoking Remix,Inner City,spotify:track:3ziWGy9y0nep8NXTyobA9Q
The Next Episode,Dr. Dre,spotify:track:4LwU4Vp6od3Sb08CsP99GC
The Hop,A Tribe Called Quest,spotify:track:7f1UEGMBMuXfLBP5XANfrW
The Ugly Truth,Matthew Sweet,spotify:track:2sJeZOKkPgN1fQfzPXzhWN
Take a Picture,Filter,spotify:track:2c5wml8wsBnPfNSbCZ574T
It's A Hard Rain's A-Gonna Fall,Leon Russell,spotify:track:4eh67nubmsyFPzcST1yFw8
Mickey - 12' version,Toni Basil,spotify:track:4tZkyrb94j1VErQyWpzQZs
Hey Bulldog,Toad The Wet Sprocket,spotify:track:5gC1e3af4KNmxysLjXKRwo
Mis Manos en Tu Cintura,Adamo,spotify:track:6kFowCmp5RNQhsK8LzC0gp
Es Mi Vida,Adamo,spotify:track:4CAEWXTwN3C98kxU5fHicC
Walking Through Syrup,Ned's Atomic Dustbin,spotify:track:7Kk3W4j2Wl9DWMqd0FxVsh
Queen for Tonight,Helen Shapiro,spotify:track:6VJosT2Ir5CIwPTuXg0D8F
Heat Of The Moment - Remix,After 7,spotify:track:2Vptb1uGay69Ql4B5NnGok
Rotten Apple,Alice In Chains,spotify:track:7Fm3NhbAYHvTQUhboim9FB
Rush,Big Audio Dynamite,spotify:track:4gTMIyJJlSuB5BOhbMri6B
Leader Of The Pack,The Shangri-Las,spotify:track:3GmQBCSYmD0Bh4O0mky3gD
"Stretchin' Out - Special 12"" Mix",Gayle Adams,spotify:track:1pH508sFa8CrL2KK3lLjq8
Smells Like Teen Spirit,Nirvana,spotify:track:75aLTVBSGIquqzQ6AkmK3Q
Heartache,Gene Loves Jezebel,spotify:track:01y5MHrVBEarzehRORk9m8
That Smell,Lynyrd Skynyrd,spotify:track:3xccSqNeyY22jMzvp6j7Jp
Livin' On The Edge Of The Night,Iggy Pop,spotify:track:0xGFngTneJV4OzN310i8Qh
Suki,Unrest,spotify:track:10KncNlE4ees6CBRoXByHb
Wake Up,Mad Season,spotify:track:5xhQOnyRJfRywbEwpkgoTy
"Walk, Don't Run",The Ventures,spotify:track:74Qp7hzjPFQZUBMpNDqUIM
Don't Go Breaking My Heart,Burt Bacharach,spotify:track:2CTXHMmUh3d6JA9i8pApaq
What Does It Take (To Win Your Love),Jr. Walker & The All Stars,spotify:track:0EPtxJEs9F8RfJKvrKUSTD
Violently Happy,BjÃÂÃÂ¶rk,spotify:track:1oyRhrmdRoJj0rUe7b22FS
Legend of a Cowgirl,Imani Coppola,spotify:track:5NNGO1dOEpwDdkbTfw0ErB
"If I Ruled The World - Original 12"" Remix",Kurtis Blow,spotify:track:1hqWlKisb3Xo2LkLqQQUYb
We Die Young,Alice In Chains,spotify:track:5Ds35L9KpUDKgSxZ6whuoQ
I Kissed a Girl,Jill Sobule,spotify:track:2wbOO38fVqZj0Hz2nRe0Dz
"See You Later, Alligator",Bill Haley & His Comets,spotify:track:1s4hyUFWmLWiAamsclb4xA
Kiss Them For Me,Siouxsie and the Banshees,spotify:track:2Z6UtnyJWtMUTJhO8wU72W
Road to Nowhere,Ozzy Osbourne,spotify:track:0gXMYs6RDg5muWWoi2q3mb
Cissy Strut,The Meters,spotify:track:7b8s4Z0abQQ4x4jpct4GjR
Petrol,Ash,spotify:track:1ghYcDSNQofy8I5IjX0Eq4
Open Horizon,Ken McIntyre,spotify:track:0Qj9JQ2FNU6n8UDWjDv2H9
Spirit,Bauhaus,spotify:track:2F6WcoJ2pTzWbxoAF652uy
I'm Glad - (1966 Demo),Captain Beefheart,spotify:track:55M8VNkgmLHPiBrzEiniKp
Everybody (Backstreet's Back) - Extended Version,Backstreet Boys,spotify:track:5WTxbyWTpoqhdxEN2szOnl
Vitamin,Incubus,spotify:track:2kHRcJgR1rzVTQjS7dERze
Hurt,Timi Yuro,spotify:track:6mqfq8EdYoV07TXM2rgPgb
Shock - Shep Pettibone Mix,The Psychedelic Furs,spotify:track:5sgdqyn0NtyBrxAXk1OWtY
Please Rain Fall,Sea Urchins,spotify:track:6OzSrGdSpuukM2yEUFR8Rp
Space Cadet,Kyuss,spotify:track:07HF5tFmwh6ahN93JC6LmE
Sugar & Spice,Cryan' Shames,spotify:track:3oc2dcOFq4wCuuHhfCoyTg
Steal My Sunshine,Len,spotify:track:5k2eOI8e9RpwCZcFQrqtKi
Fat Albert Rotunda,Herbie Hancock,spotify:track:1Ab91coOls2Cwvce3P7Gld
Night Crawler,Judas Priest,spotify:track:0MU1TyyAbuoXLGiQBgW9CI
Ruby's Wishes,Unwed Sailor,spotify:track:4CV7acrdS6xFGXbzffXwit
Time Has Come Today,The Chambers Brothers,spotify:track:5qA1ZrjjVLh1cL9GZOFdNm
Human Dissection,Demolition Hammer,spotify:track:2SbuCIni6GQsd6KGCswrdw
Laid,James,spotify:track:72041ahUnPMAcQDsFffBVw
The Lion Sleeps Tonight (Wimoweh),The Tokens,spotify:track:2QbSGkb3TgghEHpjKCsznm
4ÃÂÃÂ°,TOOL,spotify:track:1LXQ7xqksXo4q4r5oCxW7M
Song Against Sex,Neutral Milk Hotel,spotify:track:7ssaUVHbfPV4XX7k8idurx
Rainforest (Original Version),Paul Hardcastle,spotify:track:6vXzYV6xqltDEYLNSgwjiG
Diane,The Bachelors,spotify:track:01QicLin8hNjIcUDuE0nRP
Poison Heart,Ramones,spotify:track:5fRjEdFAmmZoJFCWLCp6a8
The Things We Did Last Summer,Grant Green,spotify:track:2JwbPIweFWqafSvO4S21yE
We Got to Slip Around,Bettye LaVette,spotify:track:5ML8zAal94mua3oHUSYVwK
I Am the One,Rancid,spotify:track:3RonYFpnxB9gGVOr5Tizvm
Kool Thing,Sonic Youth,spotify:track:1ZozGivTAYsOwhy6LVHsPX
"Love For Sale - Live At The It Club, Los Angeles, CA/1970",Gene Harris & The Three Sounds,spotify:track:1J8pgMClN5SLT2MR3FxZmi
Good Times,Eric Burdon & the Animals,spotify:track:357XGtCYzQD8AgPazWHdUx
Obsession,Animotion,spotify:track:3N7GqZMpZJW69Te1bfUTc3
Christmas Love,Minnie Riperton,spotify:track:6w2DcjScx0yCLoPCSOE9kU
Steal My Sunshine,LEN,spotify:track:4agp6oHofabdUedr0B1krj
Kim The Waitress,Material Issue,spotify:track:73ScX0ZwIcrJUFDt1JsUTi
I Can Only Give You Everything,MC5,spotify:track:24F95LICmGjbY4QY85d47I
"Serious, Sirius Space Party - Club Mix",Ednah Holt,spotify:track:3fWLFgvVovb9muaBkA1Squ
Red Light,Deep Blue Something,spotify:track:2Vpixe8tv2OQMGZlC6UeQy
Ain't No Stoppin' Us Now,McFadden & Whitehead,spotify:track:6EOdY7I7Xm1vPP1cyaGbWZ
But Now I Find,The Brogues,spotify:track:60DnR8nlUlzZKnMUBZYJGx
Swim,Madder Rose,spotify:track:5ICWet2ZRiyis4J9ocWVHF
The Other Song,Spirit,spotify:track:0Xh5h7NT92FHhONKypTeKd
Sweet Leilani,Arthur Lyman,spotify:track:3NJnPE6wHAfnM85PVr1Umk
What's A Matter Baby (Is It Hurting You),Timi Yuro,spotify:track:5w0dh39SYz1ei2tCs7X7Fo
Sunday Sermon,Booker T. & the M.G.'s,spotify:track:1VQafOMVQSAngQwX8qe0FS
Evil - Single Version,Cactus,spotify:track:1MlsQwhm6MU3PYMHNIc2YS
Cantaloop (Flip Fantasia),Us3,spotify:track:2AnTuxahfcAS7dGxGZnihY
Holier Than Thou,Metallica,spotify:track:1kaB0BvQEmwHeAzNh4jziT
Hold Me Up,Velvet Crush,spotify:track:7DfIDN6rPq46vu648YhlT6
Seether,Veruca Salt,spotify:track:1SY2vughwKmVPm1Lmf5Nl7
Summertime Blues,Eddie Cochran,spotify:track:2wwRSaZgshcHSvGzWryUIi
Panic In The World,Be Bop Deluxe,spotify:track:4mhI6Cv4XOMeXxEx3euqwR
Have Guitar Will Travel,Scotty Moore Trio,spotify:track:1gfpCX2IYvCdqZVdC4CkHs
"Touch, Peel And Stand",Days Of The New,spotify:track:2eG7o3BfbzohiETArwsX1K
Of Wolf And Man - Live,Metallica,spotify:track:3wHjbDGFrHN17FWg4owTkc
17 Days,Prince,spotify:track:7rwPVahewLXhDGKUjfbzU3
Kids In America,Kim Wilde,spotify:track:02SQcBSULnUUm3QHxbF8H9
Old Five and Dimers Like Me,Billy Joe Shaver,spotify:track:6mbxusFdch0qfKT6Ygkv25
Happy Face,Toadies,spotify:track:1ocnCENRNLd36NtCFaSXwK
The Record Keeps Spinning,Indeep,spotify:track:58yBMvyE9RG3XzuEAais6h
Cambridge California,Lilys,spotify:track:2CSTP9eo3XlFZZi7Ek6J1w
Slight Return,The Bluetones,spotify:track:3SyPTIK2xO4UhlpmKPsnK6
Might,Archers Of Loaf,spotify:track:69i5ALBG4KwivrpEGX9oCF
My Umbrella,Tripping Daisy,spotify:track:1V69q6fPb63UK05eKoOFUI
Sweet Sexy Thing,Nu Flavor,spotify:track:4C1F2wkwri8EVTKoB24PbW
Together Again,Janet Jackson,spotify:track:1GrikfH0jDejDvrxo84n4P
Hot Rod,Reuben Wilson,spotify:track:3BrqCE3i8mh1tUil36Kg8G
Black Star,Yngwie Malmsteen,spotify:track:7dxZacYc50KtL4REJI3bxH
Love Like Blood - Extended 12'' Mix,Killing Joke,spotify:track:684PvcVUqopYyVRbfZQlMt
Anahit,Giacinto Scelsi,spotify:track:7iILveJLLpstcjPIpq4hMx
Pale Blue Eyes - Closet Mix,The Velvet Underground,spotify:track:2Kz0UMkr3ThKzwmZd73rPA
Knock On My Door,The Marvelettes,spotify:track:6k4W6A24ntNiVXlYKdBYJY
Helpless,Sugar,spotify:track:2V6J6aswk9GVgtIkIAq41b
Turning Japanese,The Vapors,spotify:track:30cHDhxUqgnHq78hv5UjMx
Operation Spirit (The Tyranny Of Tradition),Live,spotify:track:1qwT8E1yzmjFAxEp94KmE1
November Rain,Guns N' Roses,spotify:track:53968oKecrFxkErocab2Al
Call Me,Timi Yuro,spotify:track:46tIUFcocAj9x65MBzTBFX
Brothers Of Metal (Part 1),Manowar,spotify:track:4gF2A9TkLzI0IMLxzgtaud
I Heard It Through The Grapevine,Gladys Knight & The Pips,spotify:track:3X0eGPIRJ20txKniu2s6RA
Don't Worry Be Happy,Bobby McFerrin,spotify:track:5YbgcwHjQhdT1BYQ4rxWlD
I Think I'm Paranoid,Garbage,spotify:track:5GH5Nj9ObeMbuLHeLxM2Kk
Broken Hearted People,Guy Clark,spotify:track:2SyGPdNJ9HPMguK9ERLSe1
Just A Little Bit,Jerry Butler,spotify:track:4sTxTggZFY2DEGsobyK2hU
Human Interest,Drive Like Jehu,spotify:track:6UPSQEjfyJZH15stpfqmKW
I Want To Hold Your Hand,Al Green,spotify:track:54h62k5hSoqIsCgeqPdsiO
Photograph,The Verve Pipe,spotify:track:4qRy7TYFcWEMx5jF0rREld
Dandy Life,Collective Soul,spotify:track:3taHOT15C0OsmXh6voXCdN
Boo Boo The Cat,Hasil Adkins,spotify:track:2CWAoXe1gjPDhCCRw6Qzl1
Show Me the Meaning of Being Lonely,Backstreet Boys,spotify:track:1mutOzfgO49cWVjXt0ofqd
Bony Moronie,The Creation,spotify:track:38ccACWqA4eOLswgv8nQS4
My Yada,Flamin' Groovies,spotify:track:3uRLW6Rl1nvVpOLZLtqoIZ
Bull In The Heather,Sonic Youth,spotify:track:6px1KhTqAfxdcF6A1JGSpx
Nowhere To Run,Martha Reeves & The Vandellas,spotify:track:7HfgWt7thTeXAw936XwUJJ
The Act We Act,Sugar,spotify:track:5JVsMFqGPNBmNw2ddwxtLH
Flowers and Beads,Iron Butterfly,spotify:track:1ja9IrXECLAXvDj9cCFHeW
Only In Dreams,Weezer,spotify:track:3DkHNCA4QRBQgTzF2T18hm
Memorias,Rudy Marquez,spotify:track:69a04rzOmPsms6MwZKlqSg
Order/Fade To Black,MotÃÂÃÂ¶rhead,spotify:track:4e2pruU072l3gBqmoCzdL3
Princess Mononoke - The Legend of Ashitaka,Joe Hisaishi,spotify:track:0FXkGdkTaJ7DPjZ7C93MRZ
Sour Times,Portishead,spotify:track:6vTtCOimcPs5H1Jr9d0Aep
Life Goes Around,Courtney Pine,spotify:track:2EnS0Y7k0FwpJGfVCIIUev
Entre dos tierras,Heroes Del Silencio,spotify:track:7BYqVvoXpQFhs4jJ0qqNZt
Super Rad!,The Aquabats!,spotify:track:0wZuFLzQhVAJU9JSmdixTE
Merica,Live,spotify:track:4x0owH0Z450vWxjZYyLtZg
Mode for Trane,Billy Gault,spotify:track:2s5rbNgSrKr44aG01aA80w
Don't Scandalize My Name - US Remix,Kym Mazelle,spotify:track:30dyeCwWJ7baGtET50bBwA
The Rolling People,The Verve,spotify:track:1XRzxOtCN1cGeTST38dpf5
One,Creed,spotify:track:35GwlKlVXgFCMF5uTp5r7P
Wasted Time,Coffin Break,spotify:track:2VDAx9p6ZAugiMmDdsLjJH
Tonight,Kool & The Gang,spotify:track:6gSFymipWCAuXZvEoY4O4k
Comin' After Me,Flamin' Groovies,spotify:track:656SVqB7nkE9Sn32C96DOu
More Than Words,Extreme,spotify:track:4npgZHPUKjWn6ipv6wl66Q
The Secret Ocean,Elf Power,spotify:track:50KUFJclysZnDp69onxM9y
Aida,RenÃÂÃÂ© McLean,spotify:track:0pyXzvEDwuYB6WV9eXnuKE
The Song Is You,Grant Green,spotify:track:74DfWZUhgPemOJ7JpX8HHO
Like It Like That,A Tribe Called Quest,spotify:track:67UpJLYBsYEAbe0Mm1xRf8
Hellraiser,Ozzy Osbourne,spotify:track:4nvYDy427VvA1TcEkdgZII
Little Demon,Screamin' Jay Hawkins,spotify:track:4H6wEpmIQqfQI9xgePxANM
I'm Sorry - Single Version,Brenda Lee,spotify:track:3Wkx5w26BqVASMkeGFTsEt
'74-'75,The Connells,spotify:track:0QxCLD4xJlE8vv0Cvrb8TO
Jump Start,Natalie Cole,spotify:track:6HXqPLNqNoxP70YihXnmST
Mainline - Original Vocal Mix,The Jason Load Experience,spotify:track:5dAf0UCpy2o9xiaTpJsS2i
You Should Hear How She Talks About You,Melissa Manchester,spotify:track:4FDRce5rrUuAbsC5VKwSkz
Enjoy the Silence - Single Mix,Depeche Mode,spotify:track:1YwNlWLf8auhazSQUDQLFU
Black Rose,Billy Joe Shaver,spotify:track:1H9LQWU4yHZ5r9j1VowlQ3
Got the Life,Korn,spotify:track:2IdHMVUxMbLHW5HU4OvOcZ
Laisse tomber les filles,April March,spotify:track:1QQkzqBSPfoneeOII3KauS
Foxy Lady,Gorillas,spotify:track:6YiBto9p7vK813QuT2xgYv
RÃÂÃÂ©pons (1981 - 1984): Introduction,Pierre Boulez,spotify:track:7Bgy5hDMpObX664AsWgiim
It's Electric,Diamond Head,spotify:track:1AR2VBeuqLQJYgsF33Pbgv
Reach Out,Narada Michael Walden,spotify:track:486CSLA85bgWhFMnsXiQwH
57 Waltz,Velocity Girl,spotify:track:53QPN4JkaPvkwUxPaZRD5d
Crazy Town,Velocity Girl,spotify:track:6x71Df5CInwdfVo4OBAnMG
Une histoire de plage,Brigitte Bardot,spotify:track:2gBySoyAkqPUoOmoGgtUpK
Little Boxes,Pete Seeger,spotify:track:4VJrTc5QPr13zgkwxaTjjN
Party Time,Kurtis Blow,spotify:track:5bc1kaUqSKCmSJ75HoCOgz
Life In Mono - Great Expectations Soundtrack,Mono,spotify:track:1dKmWxKinP9pnTOe3YoDS2
Lazyitis - The One Armed Boxer Remix,Happy Mondays,spotify:track:5ncIsQRIHq4CGAClmRVVxG
Our Lips Are Sealed,The Go-Go's,spotify:track:78wTOLl1ANJtgOkOoNNZ06
"I Can't Stand Myself (When You Touch Me), Pt. 1",James Brown,spotify:track:7B5MfGrThgt6fDa8P9M6yk
Desperados Waiting For A Train,Guy Clark,spotify:track:2Q3KJw8ibHDsvuNQQmeg8Q
Villains,The Verve Pipe,spotify:track:2DiRWzu2wnN8se8OvjjuXW
London Calling,The Clash,spotify:track:4LzsPH7Z8GqxeiAIUYKswd
Dancin' Shoes,The Murder City Devils,spotify:track:0fIPb46laKYgASy0uEGl4u
End Of The World,Aphrodite's Child,spotify:track:5VxtGuqulvpvb1DymW350L
Downtown,Petula Clark,spotify:track:3GdToSzgYd9DKnZEH2YdIg
Itchycoo Park,Small Faces,spotify:track:4SjbNgABPeyQNm8Lr9B0Ur
The World I Know,Collective Soul,spotify:track:794pcMq18sBEsmwjRq0aOI
Let's Get Away From It All,Della Reese,spotify:track:3uhAF1zrIppHp6s5zxvDL3
Paint Pastel Princess,Silverchair,spotify:track:505WatNdURT3AeD2EKCDry
1000 Smiling Knuckles,Skin Yard,spotify:track:5xAGbHEbEUswFidp7tMvqn
The Distance,Cake,spotify:track:0xMEF2WiqKWTIG7Krjungw
I Wanna Sex You Up - Single Mix,Color Me Badd,spotify:track:1kPBHRXyXdrtYfUfeRwBko
Shy Guy,Diana King,spotify:track:3ldG6XCLDXxWg1N6XhrSKo
How Deep Is Your Love,Bee Gees,spotify:track:2E0kGMK29BUaVQN4zC3Vpj
Killing In the Name,Rage Against The Machine,spotify:track:3FUS56gKr9mVBmzvlnodlh
Spanish Eddie,Laura Branigan,spotify:track:6BIZ5aVJIltQy6Z6w1ibar
2000 Light Years Away,Green Day,spotify:track:6pM25DLzJb5oWj74d3ElXI
Custom Caravan,The Pyramids,spotify:track:01po74l3hFGpTGPzYFVefA
Metropolis,The Church,spotify:track:4zU8R38mRpOQbbtrSjdUUq
Dizzy,Tommy Roe,spotify:track:3jJKKhg0t4HpdfNDyGiZDy
Tomcat Prowl,Doug and the Slugs,spotify:track:4kHlgTkjC4TMO45yxGe7ba
I Come From The Water,Toadies,spotify:track:0eaioDQLdGKlYMmj73I89R
Kick Him When He's Down,The Offspring,spotify:track:2qDos6FLuDlN868vp0EY8z
I Just Called To Say I Love You - Single Version,Stevie Wonder,spotify:track:09Redp0z2ZsZGyJrBqhklP
Action Woman,Tall Boys,spotify:track:1nH7WX93l7Yv44YwD5piAl
Buddy Holly,Weezer,spotify:track:7GptbanebPZYkLPvjNfd6m
Camille 2000,Piero Piccioni,spotify:track:02xoswVvBiJFf76QTqncsF
Youth of America,Birdbrain,spotify:track:7yS8iTWq1arAy4Xik1Sk1z
"Down In A Hole - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,spotify:track:2yBAPa9HZj3P2szSaaj4k1
Porcelain,Moby,spotify:track:3cYgOAFB1HAUhC7b7U8viI
One Shot at Glory,Judas Priest,spotify:track:2n7EiCahswilIBEmCOsjLs
Snoop's Upside Ya Head,Snoop Dogg,spotify:track:4tqFhZPxZFGyL2QoopywFy
Butter (For Yo' Popcorn),Jack McDuff,spotify:track:4rkXl1w5Znp3FDi9fQXSz8
Doo Wop (That Thing),Ms. Lauryn Hill,spotify:track:41Vs28E6Es3QdxIRqDnBv1
Smoking Umbrellas,Failure,spotify:track:11IYFUPlQPPAQjxfl2HncN
Sarah Sitting,Swirlies,spotify:track:4PwvnQvX4xBOQJkyh6tf7X
I Want to Be Happy,Helen Shapiro,spotify:track:4OD6QhSh77C91qx3A6KKZE
Thorn In My Side,Quicksand,spotify:track:2H7ECJNsqQDxOlisHd5n6k
Call It Love,Yello,spotify:track:05c24EcPf7bhNh24tATxsx
She Has A Way,Bobby O,spotify:track:0eGOA5qcyPOOO8eZmQd1KY
The Sadness Of Sex (Part 1),The Orchids,spotify:track:6nvk4TifRfBxbUUfDEC0qK
The Unforgiven II,Metallica,spotify:track:2D1O6DE5aJDGHsb0W38EAN
Allison,Pixies,spotify:track:6IJjnilEkzI4CQMXcPgrmx
Cold Winter Sun Symphony In D Major,Faine Jade,spotify:track:5ckKxhNHzk91wiNbs9HPmY
Over The Rainbow,Lou Donaldson,spotify:track:08lUeu1CxXvAoaKkemoEk8
The Love Of A Boy,Timi Yuro,spotify:track:5y2FnGvK01cIOqGWhCN5PR
Libertine,The Buck Pets,spotify:track:5ZUoItidGZPHuyxYzPAlNi
Plis Infinis NÃÂÃÂ°3,Frederic Galliano,spotify:track:7MD3Zr3Zr66sAXdOAPumXl
Christian - Extended Mix,China Crisis,spotify:track:1aE3If5Perm6VYmO5fuz2Y
My Hero,Foo Fighters,spotify:track:0BkxuWDGOf8d0m6HG9XmeM
What's Happened To Blue Eyes,Jessi Colter,spotify:track:2AFbG4XxlZzbDQs8MYkwSU
Tears in Heaven,Eric Clapton,spotify:track:7utRJ4BeYx85khzP3lKoBX
Por Que Sera,Rudy La Scala,spotify:track:2zFhOgUTFiAupp71sFKm77
Empty Heart,MC5,spotify:track:0iVSKOlHClqysQ0a4IvqUE
Wicked Garden,Stone Temple Pilots,spotify:track:278jOl7gFMJ9WMnUbGxWRe
I Don't Know Why I Love You,The House of Love,spotify:track:1jhLdcLxciVhLh4pQHPLa3
"Se Que Bebo, Se Que Fumo",Nicola Di Bari,spotify:track:6ghPrNLLqkZwIQvIwl7hZI
Day Dreaming,Aretha Franklin,spotify:track:4Q0AqbyNGYr5m4Tt84RwLB
Oude Maasweg,The Amazing Stroopwafels,spotify:track:0rY0wiJbmpy42X0EUtgkd6
Moment of Weakness,Bif Naked,spotify:track:5C8DlfRsAzGsikUazUc9nj
Walk And Talk With Me,Hasil Adkins,spotify:track:5ApNtSfa4UiglGXBiL0rbU
Pay Me Back My Love,Colors,spotify:track:2qmLh6tZbzIqCPYtzytEhg
I Can't Stay Mad at You,Skeeter Davis,spotify:track:0ijOfCj9PHvhnrX6WXrQns
You Left The Water Running,Barbara Lynn,spotify:track:1ZTilWW9oKM0ej3kU5QAHc
Point Of No Return,Gene McDaniels,spotify:track:3Z05xMKFPEwR8YadgcDPWH
Parlour Games,Six Finger Satellite,spotify:track:3xiLKohaQK7avHD6f6zD4r
Part Of Me,TOOL,spotify:track:2iL5ns7JhMGFSGpfQ3HQ6k
She's a Lover,The Pretty Things,spotify:track:6rUBccLmsYGK4qe0s6s0Ea
The Kandinsky Prince,Deep Blue Something,spotify:track:0Lad5pzfEcBDPlu3Ti2Kjq
How Come U Don't Call Me Anymore?,Stephanie Mills,spotify:track:40qKX5MEvZOxSr9moxqOZl
Never Gonna Let Him Know,Debbie Taylor,spotify:track:4JeMhwaWomX8RcOwLxTgWi
Who Will Save Your Soul,Jewel,spotify:track:1SYXw0U7vE9BpUw5bEFvKw
Good Vibrations,Psychic TV,spotify:track:5ooKywSV7y1hBTbIUNYh8S
Sit Down,James,spotify:track:66IC0uXoVyYT5q3R27bbZy
"Over And Over - ""12"" Voc - Col. Abrams Remix""",Colonel Abrams,spotify:track:2YmRcIgtOxxvJmdEzraooZ
"You Dropped A Bomb On Me - Original 12"" Mix",The Gap Band,spotify:track:3hznl5e4sR3lat0JbrnprJ
What I Got,Sublime,spotify:track:7lksFyVBmmkYBTVQcxnvC3
Everybody Knows,Concrete Blonde,spotify:track:1ryN1lUyInxWIqAp0VoqLz
My Hero,Foo Fighters,spotify:track:4dVbhS6OiYvFikshyaQaCN
Detroit,Rancid,spotify:track:06yrcI03mmIh5bNtGMn2k5
This Is Your Night,Amber,spotify:track:051AN65NTPxmHJ5D14qiXc
It's No Crime,Babyface,spotify:track:3W0oPqFdQJC5UDNOnMvPVm
The Summer Ends,American Football,spotify:track:61HBuVsspScrGUobbfmhOT
It's Hard To Be an Egg,Eggs,spotify:track:5YWTnxTiwvSh7KvCA6qyCW
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,spotify:track:1di1BEgJYzPvXUuinsYJGP
Murio la Flor,Germain y sus Angeles Negros,spotify:track:649KQmRYaH9Bcuay6Ry2eq
Fazer,Quicksand,spotify:track:0Bv2ixOjn8jKiVTQXE9mF8
Speculation,Colonel Abrams,spotify:track:1Zs3BS1pj8VmAELO6VyLDG
Cornflake Girl,Tori Amos,spotify:track:1300POeOaj8qho30FRHjgf
Today I Sing the Blues,Aretha Franklin,spotify:track:6NxdgHR3lebLG7CyZ9EtK5
Make It Easy On Yourself,Jerry Butler,spotify:track:7GFZ5xehLR65KbD9koUc4f
You Were Made for Me,Freddie & The Dreamers,spotify:track:6rZHBTO3axCN9zxK4nhfPE
Time,The Essence,spotify:track:0yVCg02l6N8o9rJ8nKjiJD
A Beautiful Friendship,Duke Pearson,spotify:track:35oRxiT52DIgYBIIqVCxFQ
Winter,Tori Amos,spotify:track:69mhMyy8rxYKGfPpr9wesT
Foolish Action,Birth Control,spotify:track:5Bf2gob6dTsKyrlZ0X9c0K
Last Train To Satansville,Swervedriver,spotify:track:4b6dLLz0dOsDkszVkyYseV
Guilty - New Version,Classix Nouveaux,spotify:track:2V5ddtN43HnpMtXqvXAkEU
Minor Bash,Lou Donaldson,spotify:track:16hXGWBfJjR9brFNleOnUq
The Clairvoyant - Live,Iron Maiden,spotify:track:3t2RT0l53O21bfKeybyKin
Try Jah Love,Third World,spotify:track:3tiHZqBb3M6P1G1QREASeQ
Knockin' On Heaven's Door,Guns N' Roses,spotify:track:7gXdAqJLCa5aYUeLVxosOz
Smith & Jones Forever,Silver Jews,spotify:track:5LrKDMKMnG6Vp5jKGDypBY
A Thousand Shadows (New Mix),The Seeds,spotify:track:49wmhN7AAF7acdnDYlN8dj
